,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU
69,70,0.9530896987740454,0.9402171475404488,0.8157090114062302,0.8475405551716267
70,71,0.952856103124553,0.9414217105406228,0.8158397706915494,0.8478078196860013
71,72,0.9533553483557101,0.9418941914578984,0.8189686359735553,0.8502292989105987
72,73,0.9534992418791118,0.9397332835877696,0.8075933154789889,0.8470784251778763
73,74,0.9533867039451337,0.9413114480036534,0.817087956140351,0.8467055128317362
74,75,0.9535587057641769,0.9405939769811239,0.8185930317887099,0.8448880153128788
75,76,0.9536315778300201,0.9416352698764787,0.8119852407123984,0.8487771787417983
76,77,0.9534012643914473,0.9416186200635004,0.8132571440154928,0.8479798324742116
77,78,0.9535054222124392,0.9413641157794015,0.8167606247677122,0.8476537696297983
78,79,0.9536715928695295,0.9419339471337856,0.8193938692660647,0.8496450423930967
79,80,0.953714296528622,0.9417100241388309,0.821290546110148,0.8466670207019454
